stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
MBB,Ngân hàng,7.79,STOCK,2025-07-07,20,VEOF
CTG,Ngân hàng,7.34,STOCK,2025-07-07,20,VEOF
HPG,Vật liệu xây dựng,7.03,STOCK,2025-07-07,20,VEOF
STB,Ngân hàng,6.52,STOCK,2025-07-07,20,VEOF
TCB,Ngân hàng,6.31,STOCK,2025-07-07,20,VEOF
MWG,Bán lẻ,5.69,STOCK,2025-07-07,20,VEOF
DXG,Bất động sản,4.74,STOCK,2025-07-07,20,VEOF
FPT,Công nghệ và thông tin,4.53,STOCK,2025-07-07,20,VEOF
HDG,Bất động sản,3.93,STOCK,2025-07-07,20,VEOF
ACB,Ngân hàng,3.83,STOCK,2025-07-07,20,VEOF
