ticker,time,open,high,low,close,volume
CTR,2025-01-02,124.6,126.5,123.2,125.5,805278
CTR,2025-01-03,125.6,132.9,125.6,129.5,2782507
CTR,2025-01-06,130.0,133.3,129.2,131.5,1888189
CTR,2025-01-07,132.6,132.6,128.3,130.0,1329696
CTR,2025-01-08,129.2,129.9,126.5,128.5,1434753
CTR,2025-01-09,129.0,129.0,126.8,127.1,501035
CTR,2025-01-10,126.6,127.5,124.5,124.5,770082
CTR,2025-01-13,123.1,125.3,121.9,125.3,824644
CTR,2025-01-14,126.0,126.0,123.5,125.3,430184
CTR,2025-01-15,123.6,126.6,123.6,126.0,355058
CTR,2025-01-16,127.2,128.8,126.0,128.8,1174344
CTR,2025-01-17,129.6,130.8,128.8,129.0,803868
CTR,2025-01-20,129.2,131.5,127.5,128.9,583427
CTR,2025-01-21,129.6,131.3,128.0,128.4,952226
CTR,2025-01-22,128.1,136.3,128.1,133.8,2800905
CTR,2025-01-23,133.0,134.7,133.0,133.4,648969
CTR,2025-01-24,133.4,135.2,131.5,131.6,841587
CTR,2025-02-03,130.1,130.1,124.0,125.0,1647981
CTR,2025-02-04,125.0,127.0,124.0,127.0,788442
CTR,2025-02-05,127.0,129.5,127.0,128.4,512235
CTR,2025-02-06,129.4,129.4,126.6,128.0,622850
CTR,2025-02-07,128.0,128.0,125.5,126.0,757322
CTR,2025-02-10,124.0,124.0,121.4,121.6,1920827
CTR,2025-02-11,121.8,124.0,121.0,123.0,891088
CTR,2025-02-12,123.5,123.7,122.1,123.1,446305
CTR,2025-02-13,122.2,122.9,121.0,121.7,695968
CTR,2025-02-14,121.4,122.6,119.5,119.5,1158339
CTR,2025-02-17,119.7,119.7,116.5,116.6,1353040
CTR,2025-02-18,117.0,121.7,116.6,121.7,480305
CTR,2025-02-19,121.2,121.2,119.3,120.0,500731
CTR,2025-02-20,120.1,120.9,118.8,120.0,608217
CTR,2025-02-21,120.0,120.5,118.9,120.5,432672
CTR,2025-02-24,119.9,120.0,118.0,118.1,473461
CTR,2025-02-25,118.5,119.0,117.0,118.4,526839
CTR,2025-02-26,118.4,121.5,118.4,119.9,484974
CTR,2025-02-27,120.8,120.8,118.5,120.4,333549
CTR,2025-02-28,119.9,120.8,119.0,120.4,501306
CTR,2025-03-03,120.4,122.0,119.7,120.4,463947
CTR,2025-03-04,120.0,120.5,119.0,120.0,356491
CTR,2025-03-05,120.3,120.5,118.8,119.0,529773
CTR,2025-03-06,119.1,120.2,118.8,119.8,407708
CTR,2025-03-07,119.8,121.2,119.3,120.3,482256
CTR,2025-03-10,120.5,121.0,119.2,120.2,381984
CTR,2025-03-11,119.0,119.4,118.5,118.7,496030
CTR,2025-03-12,119.4,119.4,117.0,117.1,695930
CTR,2025-03-13,119.5,119.5,115.0,115.0,809421
CTR,2025-03-14,115.1,115.6,111.8,112.1,954182
CTR,2025-03-17,111.0,113.6,111.0,112.1,498191
CTR,2025-03-18,112.1,113.1,110.0,110.0,571111
CTR,2025-03-19,111.1,111.4,106.8,107.0,717595
CTR,2025-03-20,107.2,109.0,105.0,106.0,457850
CTR,2025-03-21,106.1,108.8,105.5,106.0,654720
CTR,2025-03-24,107.7,108.1,106.5,108.0,230946
CTR,2025-03-25,109.0,109.0,107.0,107.6,258821
CTR,2025-03-26,107.6,107.6,101.5,101.5,953156
CTR,2025-03-27,102.0,104.1,100.2,103.5,623184
CTR,2025-03-28,104.0,104.3,102.0,102.1,206259
CTR,2025-03-31,101.0,103.0,96.7,103.0,941928
CTR,2025-04-01,102.0,102.0,98.5,98.8,597629
CTR,2025-04-02,98.0,99.8,97.0,98.6,406666
CTR,2025-04-03,92.0,96.0,91.7,91.7,760058
CTR,2025-04-04,85.3,85.3,85.3,85.3,398065
CTR,2025-04-08,79.4,80.0,79.4,79.4,446160
CTR,2025-04-09,73.9,77.0,73.9,73.9,2007057
CTR,2025-04-10,79.0,79.0,79.0,79.0,115013
CTR,2025-04-11,84.5,84.5,82.1,84.5,1579547
CTR,2025-04-14,88.6,89.0,86.0,87.0,806972
CTR,2025-04-15,86.8,86.9,83.5,83.8,611163
CTR,2025-04-16,81.5,85.5,81.5,83.0,473432
CTR,2025-04-17,82.5,83.9,81.5,82.9,305094
CTR,2025-04-18,83.9,86.9,83.5,85.9,512466
CTR,2025-04-21,85.1,85.7,82.4,82.6,549390
CTR,2025-04-22,82.0,82.0,76.9,78.1,1390140
CTR,2025-04-23,78.2,83.5,78.2,83.5,1118028
CTR,2025-04-24,83.6,89.0,83.6,85.4,934426
CTR,2025-04-25,86.4,86.4,83.8,83.9,717859
CTR,2025-04-28,84.0,86.8,84.0,84.3,622563
CTR,2025-04-29,84.4,85.3,84.0,84.8,398574
CTR,2025-05-05,86.0,86.8,84.0,86.8,561252
CTR,2025-05-06,86.8,90.1,86.8,89.3,1118460
CTR,2025-05-07,89.0,89.0,87.2,88.5,468257
CTR,2025-05-08,88.5,89.4,87.6,89.3,604195
CTR,2025-05-09,89.6,94.3,89.6,93.6,1314058
CTR,2025-05-12,94.5,94.5,92.2,93.3,437417
CTR,2025-05-13,95.1,95.2,93.0,93.4,528130
CTR,2025-05-14,93.4,97.3,93.4,96.2,1180857
CTR,2025-05-15,97.2,97.5,94.9,96.0,549576
CTR,2025-05-16,96.0,98.5,95.1,98.0,930587
CTR,2025-05-19,97.7,97.7,94.6,95.3,593317
CTR,2025-05-20,95.3,96.0,94.0,94.3,549744
CTR,2025-05-21,94.9,96.7,94.0,94.5,389434
CTR,2025-05-22,94.5,95.0,90.5,90.7,1041562
CTR,2025-05-23,91.5,92.0,90.0,91.0,572455
CTR,2025-05-26,91.0,92.9,88.0,92.9,442892
CTR,2025-05-27,93.0,94.7,92.5,94.6,503233
CTR,2025-05-28,94.6,94.9,93.0,93.3,408515
CTR,2025-05-29,94.1,94.8,92.6,93.4,311784
CTR,2025-05-30,93.5,94.1,90.1,90.1,596905
CTR,2025-06-02,90.0,90.7,89.1,90.3,301348
CTR,2025-06-03,90.6,92.3,90.6,92.1,424642
CTR,2025-06-04,92.1,92.6,90.5,90.8,378267
CTR,2025-06-05,91.1,92.6,90.8,91.1,457073
CTR,2025-06-06,91.5,91.6,90.0,90.0,320931
CTR,2025-06-09,90.0,90.0,88.6,88.8,338868
CTR,2025-06-10,88.5,92.0,88.2,90.8,526921
CTR,2025-06-11,90.8,97.1,90.1,97.1,2208932
CTR,2025-06-12,97.5,97.5,95.6,96.0,510435
CTR,2025-06-13,94.3,96.5,92.5,96.5,1089198
CTR,2025-06-16,96.5,101.0,94.5,100.8,1542562
CTR,2025-06-17,100.8,101.0,98.6,100.0,574699
CTR,2025-06-18,99.8,100.0,98.0,99.8,854698
CTR,2025-06-19,99.8,100.8,98.0,99.5,502072
CTR,2025-06-20,99.5,99.5,97.7,98.5,458439
CTR,2025-06-23,97.5,100.1,96.3,99.0,698914
CTR,2025-06-24,100.0,101.9,98.6,99.0,637736
CTR,2025-06-25,99.1,100.0,98.6,98.6,417923
CTR,2025-06-26,99.3,99.3,97.5,97.9,336100
