ticker,time,open,high,low,close,volume
DHT,2025-01-02,86.36,87.73,85.46,86.82,17954
DHT,2025-01-03,86.82,87.27,85.82,86.36,29412
DHT,2025-01-06,86.55,88.36,86.55,87.27,414056
DHT,2025-01-07,87.46,88.64,78.91,79.0,490187
DHT,2025-01-08,78.18,83.64,78.18,83.55,54835
DHT,2025-01-09,83.64,84.46,80.0,82.36,129007
DHT,2025-01-10,81.82,81.82,79.09,80.09,58290
DHT,2025-01-13,80.0,80.0,77.27,78.09,52534
DHT,2025-01-14,77.27,80.0,77.27,78.18,21119
DHT,2025-01-15,78.18,78.64,77.55,78.18,23147
DHT,2025-01-16,78.18,78.55,77.46,78.18,40877
DHT,2025-01-17,78.18,80.0,77.64,80.0,58616
DHT,2025-01-20,80.46,81.82,78.82,80.64,9253
DHT,2025-01-21,80.55,81.27,77.55,79.09,22563
DHT,2025-01-22,79.82,79.82,77.64,78.55,35896
DHT,2025-01-23,78.55,78.55,77.36,78.18,25349
DHT,2025-01-24,78.09,78.73,77.09,78.64,34510
DHT,2025-02-03,78.64,80.91,77.46,78.82,16340
DHT,2025-02-04,78.82,79.91,78.64,79.46,30717
DHT,2025-02-05,79.09,80.27,78.36,79.91,29410
DHT,2025-02-06,79.91,80.73,79.36,79.91,37180
DHT,2025-02-07,79.91,81.82,79.55,80.46,204437
DHT,2025-02-10,80.46,80.82,79.0,79.0,19962
DHT,2025-02-11,80.0,80.18,79.09,80.18,49434
DHT,2025-02-12,80.09,80.36,79.36,79.46,17840
DHT,2025-02-13,79.46,79.91,78.64,78.64,84711
DHT,2025-02-14,80.0,80.0,78.09,78.64,45756
DHT,2025-02-17,79.09,80.0,77.73,78.64,16806
DHT,2025-02-18,78.64,79.73,77.82,78.64,30966
DHT,2025-02-19,79.18,79.18,77.73,78.73,33330
DHT,2025-02-20,78.73,79.64,77.82,78.73,29700
DHT,2025-02-21,78.36,79.09,77.91,78.46,20569
DHT,2025-02-24,77.91,79.0,77.73,78.46,30704
DHT,2025-02-25,78.27,78.73,77.82,77.82,33017
DHT,2025-02-26,77.82,78.55,77.64,78.46,31383
DHT,2025-02-27,77.82,79.18,77.82,79.09,53207
DHT,2025-02-28,79.18,84.55,79.18,81.64,115069
DHT,2025-03-03,81.64,83.0,81.64,81.91,35287
DHT,2025-03-04,82.27,82.27,79.18,81.27,56306
DHT,2025-03-05,81.91,81.91,79.82,80.82,44938
DHT,2025-03-06,80.09,81.36,79.36,79.55,37694
DHT,2025-03-07,80.0,80.82,79.36,79.91,15749
DHT,2025-03-10,79.91,80.36,78.82,78.82,28764
DHT,2025-03-11,78.91,80.0,78.64,79.91,56610
DHT,2025-03-12,79.91,80.82,79.27,80.0,39852
DHT,2025-03-13,80.0,80.91,79.36,80.18,32859
DHT,2025-03-14,79.55,80.91,79.46,79.46,18405
DHT,2025-03-17,80.64,80.73,79.36,79.91,9543
DHT,2025-03-18,80.18,80.18,79.46,79.91,19596
DHT,2025-03-19,80.82,80.82,79.55,80.0,32831
DHT,2025-03-20,80.0,80.55,79.55,80.09,22090
DHT,2025-03-21,80.09,80.36,79.55,79.91,15731
DHT,2025-03-24,80.09,80.82,79.09,79.82,16315
DHT,2025-03-25,80.18,80.18,79.09,79.64,15304
DHT,2025-03-26,80.0,80.0,79.09,79.09,12186
DHT,2025-03-27,79.46,80.0,78.73,79.82,19107
DHT,2025-03-28,79.09,80.46,78.91,79.82,19308
DHT,2025-03-31,80.27,80.27,78.73,78.73,17111
DHT,2025-04-01,78.64,80.18,78.64,79.18,4033
DHT,2025-04-02,79.18,79.82,78.64,79.36,25594
DHT,2025-04-03,78.73,79.36,74.64,75.91,101481
DHT,2025-04-04,73.64,77.82,72.27,76.27,94149
DHT,2025-04-08,75.46,78.18,73.27,75.0,70201
DHT,2025-04-09,74.09,75.0,71.82,73.55,36812
DHT,2025-04-10,72.73,80.82,72.73,79.0,56115
DHT,2025-04-11,79.0,79.91,77.27,79.0,36969
DHT,2025-04-14,79.0,79.55,77.36,77.36,22259
DHT,2025-04-15,78.73,78.73,76.91,77.46,10127
DHT,2025-04-16,77.27,78.0,75.91,75.91,14644
DHT,2025-04-17,75.91,77.27,75.91,76.82,13431
DHT,2025-04-18,76.55,78.18,76.55,77.27,10576
DHT,2025-04-21,77.27,77.27,75.55,76.64,12817
DHT,2025-04-22,76.64,76.64,74.55,76.0,15380
DHT,2025-04-23,77.55,77.55,75.0,76.0,11921
DHT,2025-04-24,75.46,77.09,74.64,75.36,17950
DHT,2025-04-25,75.0,75.82,74.55,75.82,28305
DHT,2025-04-28,75.82,76.0,75.0,75.82,8805
DHT,2025-04-29,76.27,76.27,74.82,75.73,9410
DHT,2025-05-05,75.46,76.09,74.55,75.46,7870
DHT,2025-05-06,75.46,76.0,74.55,75.46,25031
DHT,2025-05-07,75.36,75.82,74.73,75.64,31900
DHT,2025-05-08,75.55,77.27,75.0,76.09,13049
DHT,2025-05-09,76.09,77.27,75.27,76.09,6111
DHT,2025-05-12,75.91,77.73,75.46,76.18,9723
DHT,2025-05-13,76.18,78.18,75.91,76.18,12337
DHT,2025-05-14,77.09,77.09,75.55,76.27,5902
DHT,2025-05-15,76.27,77.55,75.09,76.27,10700
DHT,2025-05-16,76.27,76.46,74.82,75.64,23401
DHT,2025-05-19,75.0,76.36,74.55,75.46,15431
DHT,2025-05-20,74.55,76.09,74.55,75.0,9361
DHT,2025-05-21,74.55,75.36,74.46,74.91,11005
DHT,2025-05-22,74.82,76.09,74.82,74.91,14313
DHT,2025-05-23,74.91,75.09,74.36,74.73,6602
DHT,2025-05-26,74.55,75.09,74.27,74.73,13869
DHT,2025-05-27,75.0,75.46,74.73,75.0,7700
DHT,2025-05-28,75.0,75.64,74.46,75.0,17801
DHT,2025-05-29,75.0,75.64,74.36,75.27,13300
DHT,2025-05-30,75.27,75.27,74.64,75.09,3215
DHT,2025-06-02,75.09,75.36,74.73,75.36,10765
DHT,2025-06-03,75.09,76.18,75.0,75.46,6823
DHT,2025-06-04,74.82,75.91,74.82,75.46,8206
DHT,2025-06-05,75.09,75.46,74.55,75.36,10741
DHT,2025-06-06,75.36,75.36,74.27,75.09,5702
DHT,2025-06-09,75.09,75.46,74.18,74.55,4102
DHT,2025-06-10,74.55,75.36,74.27,74.82,6007
DHT,2025-06-11,74.36,75.36,74.36,74.91,4100
DHT,2025-06-12,74.91,75.09,74.36,74.91,4001
DHT,2025-06-13,74.91,75.27,74.09,74.55,5004
DHT,2025-06-16,75.36,75.36,74.09,74.73,4797
DHT,2025-06-17,74.73,74.82,74.27,74.73,29307
DHT,2025-06-18,74.73,75.09,73.91,74.73,6904
DHT,2025-06-19,74.73,74.73,74.18,74.55,6350
DHT,2025-06-20,74.55,75.0,73.64,74.64,5200
DHT,2025-06-23,74.09,74.55,73.82,74.09,4012
DHT,2025-06-24,75.36,75.36,73.27,74.09,11335
DHT,2025-06-25,74.09,74.55,72.91,74.55,15748
DHT,2025-06-26,74.55,74.55,72.73,74.18,9101
DHT,2025-06-27,74.18,74.46,73.91,74.27,17912
DHT,2025-06-30,75.0,75.0,73.91,74.55,2008
DHT,2025-07-01,74.55,74.55,73.73,74.09,10700
DHT,2025-07-02,74.55,74.55,73.82,74.27,11808
DHT,2025-07-03,74.55,74.55,73.64,74.36,15900
DHT,2025-07-04,74.0,75.0,73.82,75.0,21800
DHT,2025-07-07,74.55,75.27,74.18,74.55,3440
DHT,2025-07-08,74.82,74.82,74.09,74.09,6020
DHT,2025-07-09,74.09,74.09,73.64,74.09,6809
DHT,2025-07-10,74.09,74.36,73.82,74.09,4522
DHT,2025-07-11,74.55,75.91,74.27,74.73,65954
DHT,2025-07-14,74.73,75.46,74.36,74.73,15314
DHT,2025-07-15,74.73,74.73,74.09,74.55,7810
DHT,2025-07-16,74.55,75.36,74.09,74.64,5058
DHT,2025-07-17,74.09,75.18,73.64,74.91,27913
DHT,2025-07-18,73.73,75.0,73.73,74.73,7801
DHT,2025-07-21,74.55,82.18,74.55,79.0,53138
DHT,2025-07-22,79.0,79.0,75.46,78.09,24503
DHT,2025-07-23,75.46,78.18,75.46,77.27,22752
DHT,2025-07-24,77.18,77.27,75.46,76.55,15754
DHT,2025-07-25,76.55,81.73,75.36,80.91,63310
DHT,2025-07-28,80.91,80.91,78.36,79.36,24110
DHT,2025-07-29,79.36,81.64,76.36,77.27,30872
DHT,2025-07-30,79.91,79.91,77.27,79.0,2903
DHT,2025-07-31,77.27,79.55,76.46,78.18,5301
DHT,2025-08-01,76.91,79.46,76.91,79.09,25635
DHT,2025-08-04,80.0,80.0,78.18,79.09,6522
DHT,2025-08-05,79.82,79.91,77.27,79.18,31760
DHT,2025-08-06,79.09,79.82,77.73,79.0,17611
DHT,2025-08-07,78.91,79.0,77.27,78.82,14316
DHT,2025-08-08,78.73,79.91,76.91,79.91,43722
DHT,2025-08-11,79.82,80.0,77.27,79.09,7302
DHT,2025-08-12,77.73,79.09,77.55,79.09,9101
DHT,2025-08-13,77.82,79.73,77.27,77.27,14102
DHT,2025-08-14,77.27,78.64,77.09,78.36,12000
DHT,2025-08-15,77.27,78.91,77.27,78.73,19500
