ticker,time,open,high,low,close,volume
SCS,2025-01-02,80.6,81.5,80.1,80.4,273439
SCS,2025-01-03,81.0,81.0,79.4,79.5,312711
SCS,2025-01-06,79.6,80.1,77.6,78.5,339204
SCS,2025-01-07,78.8,78.8,78.0,78.1,228893
SCS,2025-01-08,78.4,78.9,78.0,78.9,133372
SCS,2025-01-09,79.0,80.1,79.0,79.2,210740
SCS,2025-01-10,79.5,79.5,77.1,77.1,193268
SCS,2025-01-13,77.0,78.5,76.5,78.3,205307
SCS,2025-01-14,78.3,78.4,77.7,78.0,77798
SCS,2025-01-15,78.0,78.7,78.0,78.6,101411
SCS,2025-01-16,79.0,79.4,78.2,78.4,148676
SCS,2025-01-17,78.7,81.3,78.7,81.2,608830
SCS,2025-01-20,81.9,81.9,80.2,80.6,255376
SCS,2025-01-21,81.2,81.6,79.2,79.5,309977
SCS,2025-01-22,80.5,83.5,80.0,82.5,1080042
SCS,2025-01-23,83.1,83.1,81.3,82.2,283169
SCS,2025-01-24,82.2,82.2,80.3,80.9,345210
SCS,2025-02-03,80.8,80.8,79.0,79.2,573283
SCS,2025-02-04,79.5,80.2,79.4,79.9,450620
SCS,2025-02-05,79.9,82.6,79.7,81.0,788045
SCS,2025-02-06,81.9,81.9,80.5,80.6,290327
SCS,2025-02-07,81.3,81.4,79.8,80.0,477869
SCS,2025-02-10,79.8,79.8,77.6,77.7,946932
SCS,2025-02-11,77.7,78.2,77.4,77.4,291518
SCS,2025-02-12,77.4,78.5,77.2,77.7,277197
SCS,2025-02-13,77.5,78.1,77.1,77.7,248834
SCS,2025-02-14,78.2,78.3,77.3,77.4,407278
SCS,2025-02-17,77.4,77.4,74.8,75.2,1134725
SCS,2025-02-18,75.7,75.7,74.8,75.2,348071
SCS,2025-02-19,75.5,76.4,75.5,75.7,232749
SCS,2025-02-20,76.0,76.3,74.9,75.5,477669
SCS,2025-02-21,75.6,75.7,75.1,75.3,273016
SCS,2025-02-24,75.3,75.6,75.0,75.4,411439
SCS,2025-02-25,75.0,77.2,75.0,77.0,582948
SCS,2025-02-26,77.4,77.6,76.2,76.5,216292
SCS,2025-02-27,76.8,76.8,75.6,76.0,186948
SCS,2025-02-28,75.8,75.8,75.0,75.3,280679
SCS,2025-03-03,75.4,75.4,75.0,75.2,305662
SCS,2025-03-04,75.6,75.6,74.2,74.2,586374
SCS,2025-03-05,74.4,74.4,73.3,73.4,468662
SCS,2025-03-06,73.3,74.5,73.3,74.5,355490
SCS,2025-03-07,74.7,75.0,74.3,74.5,170750
SCS,2025-03-10,74.4,74.7,74.0,74.4,135441
SCS,2025-03-11,73.8,73.9,73.4,73.6,302995
SCS,2025-03-12,73.8,74.0,73.2,74.0,233568
SCS,2025-03-13,74.0,74.6,73.6,73.8,183395
SCS,2025-03-14,73.9,74.4,73.1,73.1,177345
SCS,2025-03-17,73.1,73.9,72.4,72.5,278027
SCS,2025-03-18,72.3,72.9,72.0,72.2,218743
SCS,2025-03-19,72.6,72.6,71.5,71.8,175705
SCS,2025-03-20,72.3,72.5,71.5,72.2,270070
SCS,2025-03-21,72.2,74.0,72.1,73.3,182467
SCS,2025-03-24,73.3,73.5,71.6,72.7,139871
SCS,2025-03-25,72.7,72.7,71.7,71.7,265886
SCS,2025-03-26,71.9,71.9,70.5,70.5,448252
SCS,2025-03-27,70.6,70.7,69.7,69.9,306213
SCS,2025-03-28,69.9,70.7,69.8,70.0,183619
SCS,2025-03-31,69.9,69.9,68.5,69.0,305398
SCS,2025-04-01,69.0,70.0,68.9,70.0,141786
SCS,2025-04-02,70.1,70.1,69.2,69.2,288659
SCS,2025-04-03,64.5,67.0,64.4,64.4,883833
SCS,2025-04-04,59.9,60.5,59.9,59.9,983479
SCS,2025-04-08,55.8,58.8,55.8,55.8,642607
SCS,2025-04-09,51.9,55.6,51.9,52.4,1075964
SCS,2025-04-10,56.0,56.0,56.0,56.0,49998
SCS,2025-04-11,59.9,59.9,58.5,59.9,1272755
SCS,2025-04-14,61.0,61.0,59.5,59.9,375170
SCS,2025-04-15,60.0,60.0,57.4,57.9,497108
SCS,2025-04-16,57.9,58.4,56.0,56.3,411290
SCS,2025-04-17,55.8,58.0,55.8,58.0,428373
SCS,2025-04-18,58.7,61.4,58.5,60.1,471011
SCS,2025-04-21,61.3,61.3,58.6,58.8,415158
SCS,2025-04-22,58.1,58.4,54.8,57.8,652902
SCS,2025-04-23,58.3,58.7,57.5,58.6,252975
SCS,2025-04-24,59.5,59.5,58.3,58.6,202678
SCS,2025-04-25,59.3,59.3,58.1,58.5,292609
SCS,2025-04-28,58.6,59.9,58.6,58.8,330291
SCS,2025-04-29,59.1,59.4,58.7,59.2,138796
SCS,2025-05-05,59.8,60.8,59.1,60.5,284733
SCS,2025-05-06,60.8,61.5,60.3,60.5,385808
SCS,2025-05-07,60.5,60.5,59.6,59.9,234568
SCS,2025-05-08,60.5,60.5,59.7,60.3,182539
SCS,2025-05-09,60.5,60.8,59.8,60.0,210974
SCS,2025-05-12,60.1,60.3,59.8,60.1,255632
SCS,2025-05-13,60.9,61.2,60.4,60.6,458217
SCS,2025-05-14,60.6,63.3,60.6,62.8,597906
SCS,2025-05-15,63.0,64.7,62.5,64.7,557257
SCS,2025-05-16,64.7,64.7,63.0,63.2,524716
SCS,2025-05-19,61.7,62.7,61.5,61.7,357063
SCS,2025-05-20,61.7,62.2,61.2,62.0,323155
SCS,2025-05-21,62.0,62.2,61.1,62.0,290762
SCS,2025-05-22,61.7,63.5,61.3,61.6,383274
SCS,2025-05-23,61.4,62.0,61.4,61.5,163069
SCS,2025-05-26,61.9,62.2,60.8,62.0,365810
SCS,2025-05-27,62.2,63.8,62.2,63.1,468261
SCS,2025-05-28,63.8,64.0,63.0,63.5,306492
SCS,2025-05-29,63.6,63.6,62.9,63.0,284049
SCS,2025-05-30,63.0,63.0,61.9,61.9,383314
SCS,2025-06-02,61.6,64.0,61.1,64.0,513396
SCS,2025-06-03,64.9,65.2,63.8,63.8,725008
SCS,2025-06-04,63.8,63.8,63.0,63.3,273142
SCS,2025-06-05,63.5,63.5,62.5,63.0,256920
SCS,2025-06-06,62.8,62.9,62.0,62.0,311627
SCS,2025-06-09,63.2,64.0,61.9,62.2,361220
SCS,2025-06-10,62.6,65.0,62.6,65.0,952698
SCS,2025-06-11,65.6,65.7,64.0,64.3,342843
SCS,2025-06-12,64.4,64.7,63.9,64.4,242891
SCS,2025-06-13,63.4,63.7,62.6,63.2,556738
SCS,2025-06-16,63.0,64.2,62.8,64.2,331230
SCS,2025-06-17,64.5,65.0,63.7,63.8,344277
SCS,2025-06-18,63.5,64.1,63.5,63.6,185192
SCS,2025-06-19,63.7,63.9,63.1,63.6,166276
SCS,2025-06-20,63.6,65.7,63.3,64.7,509772
SCS,2025-06-23,63.2,64.0,63.2,63.8,237090
SCS,2025-06-24,64.1,64.4,63.7,64.0,215397
SCS,2025-06-25,64.2,65.9,64.2,65.1,627423
SCS,2025-06-26,65.8,67.8,65.4,67.8,1277345
SCS,2025-06-27,67.7,69.4,67.4,68.5,710352
SCS,2025-06-30,68.5,68.6,67.0,67.2,610334
