ticker,time,open,high,low,close,volume
IJC,2025-01-02,11.43,11.59,11.39,11.59,636901
IJC,2025-01-03,11.59,11.59,11.35,11.39,1198329
IJC,2025-01-06,11.39,11.43,11.1,11.18,1953710
IJC,2025-01-07,11.18,11.35,11.18,11.22,1083464
IJC,2025-01-08,11.18,11.35,11.1,11.35,689424
IJC,2025-01-09,11.35,11.35,11.18,11.22,428163
IJC,2025-01-10,11.18,11.26,10.94,10.94,1633389
IJC,2025-01-13,10.89,11.02,10.81,10.94,730616
IJC,2025-01-14,11.02,11.06,10.98,11.02,721431
IJC,2025-01-15,11.06,11.18,11.02,11.14,734802
IJC,2025-01-16,11.18,11.26,11.14,11.14,267254
IJC,2025-01-17,11.14,11.22,11.1,11.18,676495
IJC,2025-01-20,11.22,11.26,11.06,11.18,601814
IJC,2025-01-21,11.22,11.22,11.1,11.1,330194
IJC,2025-01-22,11.14,11.14,10.98,11.06,611528
IJC,2025-01-23,11.1,11.14,11.02,11.1,550562
IJC,2025-01-24,11.18,11.26,11.06,11.18,1007306
IJC,2025-02-03,11.31,11.59,11.22,11.47,3092394
IJC,2025-02-04,11.47,11.72,11.47,11.59,3885627
IJC,2025-02-05,11.63,11.63,11.47,11.51,2089410
IJC,2025-02-06,11.55,11.76,11.43,11.51,2814871
IJC,2025-02-07,11.51,11.92,11.51,11.68,3623592
IJC,2025-02-10,11.68,12.09,11.59,11.92,3782901
IJC,2025-02-11,11.96,11.96,11.8,11.88,1554619
IJC,2025-02-12,11.8,12.05,11.8,11.84,2082684
IJC,2025-02-13,11.84,12.09,11.8,12.0,2321325
IJC,2025-02-14,12.05,12.09,11.92,11.92,2032784
IJC,2025-02-17,11.92,12.13,11.88,11.92,2173181
IJC,2025-02-18,11.88,12.25,11.88,12.09,2607063
IJC,2025-02-19,12.09,12.29,12.05,12.29,2630435
IJC,2025-02-20,12.33,12.33,12.05,12.05,1509496
IJC,2025-02-21,12.09,12.21,11.96,12.05,1843272
IJC,2025-02-24,12.0,12.17,11.84,11.96,1925120
IJC,2025-02-25,12.05,12.09,11.88,11.96,2227801
