ticker,time,open,high,low,close,volume
PDR,2025-01-02,19.17,19.35,19.03,19.17,2222572
PDR,2025-01-03,19.12,19.31,18.84,18.93,4007605
PDR,2025-01-06,18.93,18.98,18.06,18.15,9646691
PDR,2025-01-07,18.33,18.33,17.22,17.45,10396972
PDR,2025-01-08,17.36,17.92,17.27,17.87,4404277
PDR,2025-01-09,17.87,18.01,17.55,17.59,2806860
PDR,2025-01-10,17.59,17.73,16.71,16.71,5199868
PDR,2025-01-13,16.67,17.45,16.53,17.36,6192563
PDR,2025-01-14,17.36,17.41,16.99,17.04,1856117
PDR,2025-01-15,17.08,17.41,17.08,17.41,2946021
PDR,2025-01-16,17.45,17.68,17.13,17.22,3877794
PDR,2025-01-17,17.36,17.55,17.22,17.45,2509579
PDR,2025-01-20,17.55,17.55,17.22,17.41,2511114
PDR,2025-01-21,17.36,17.41,17.04,17.04,4099210
PDR,2025-01-22,17.08,17.22,16.76,16.99,2948461
PDR,2025-01-23,17.04,17.41,16.9,17.22,3857029
PDR,2025-01-24,17.36,17.78,17.36,17.68,7555716
PDR,2025-02-03,17.59,17.78,17.31,17.31,3131178
PDR,2025-02-04,17.5,17.73,17.22,17.64,5296784
PDR,2025-02-05,17.82,18.61,17.78,18.29,11735573
PDR,2025-02-06,18.15,18.43,18.01,18.33,5443143
PDR,2025-02-07,18.33,18.33,18.01,18.01,4085967
PDR,2025-02-10,17.82,17.82,17.41,17.41,7143581
PDR,2025-02-11,17.55,17.55,17.31,17.5,3535840
PDR,2025-02-12,17.55,17.68,17.36,17.36,2565344
PDR,2025-02-13,17.41,17.55,17.22,17.55,2751999
PDR,2025-02-14,17.59,17.78,17.55,17.68,4473412
PDR,2025-02-17,17.82,17.96,17.68,17.68,5524215
PDR,2025-02-18,17.68,18.15,17.68,17.78,4765730
PDR,2025-02-19,17.87,18.24,17.78,18.1,7631245
PDR,2025-02-20,18.1,18.52,17.96,17.96,8573606
PDR,2025-02-21,17.92,17.96,17.68,17.73,6169628
PDR,2025-02-24,17.82,17.92,17.59,17.92,5897286
PDR,2025-02-25,18.1,18.38,17.92,18.01,5622403
PDR,2025-02-26,18.01,18.1,17.73,17.78,5935823
PDR,2025-02-27,17.78,18.43,17.73,18.33,10165322
PDR,2025-02-28,18.38,18.8,18.19,18.43,12342637
PDR,2025-03-03,18.52,18.8,18.43,18.61,7936023
PDR,2025-03-04,18.61,18.98,18.38,18.61,11993257
PDR,2025-03-05,18.7,18.7,18.1,18.1,7883540
PDR,2025-03-06,18.15,18.52,18.1,18.52,6936118
PDR,2025-03-07,18.66,19.26,18.61,18.8,13639131
PDR,2025-03-10,18.89,19.17,18.7,18.89,8642558
PDR,2025-03-11,18.61,19.07,18.47,19.07,8570093
PDR,2025-03-12,18.93,19.03,18.56,18.98,11561901
PDR,2025-03-13,18.93,19.07,18.33,18.33,9164494
PDR,2025-03-14,18.43,18.98,18.19,18.7,10646857
PDR,2025-03-17,18.93,19.44,18.66,19.26,14468726
PDR,2025-03-18,19.35,19.4,18.89,18.98,7505033
PDR,2025-03-19,18.98,19.03,18.8,19.03,8008469
PDR,2025-03-20,19.07,19.07,18.56,18.7,5773860
PDR,2025-03-21,18.66,18.93,18.66,18.8,4485675
PDR,2025-03-24,18.29,18.61,17.64,18.52,25346741
PDR,2025-03-25,18.52,18.66,18.24,18.61,6139984
PDR,2025-03-26,18.47,18.66,18.1,18.33,8076034
PDR,2025-03-27,18.24,18.29,17.96,18.15,4413652
PDR,2025-03-28,18.24,18.24,17.82,17.87,4684306
PDR,2025-03-31,17.68,18.19,17.68,17.92,5631540
PDR,2025-04-01,17.96,18.15,17.82,18.01,2510694
PDR,2025-04-02,18.15,18.19,17.92,18.06,3294052
PDR,2025-04-03,17.13,17.55,16.81,16.81,7868421
PDR,2025-04-04,15.65,16.06,15.65,16.06,14505235
PDR,2025-04-08,14.95,15.46,14.95,14.95,2245595
PDR,2025-04-09,13.93,14.26,13.93,13.93,7904367
PDR,2025-04-10,14.91,14.91,14.91,14.91,4395363
PDR,2025-04-11,14.07,15.74,13.93,15.74,20961779
PDR,2025-04-14,15.69,15.88,15.23,15.88,8033014
PDR,2025-04-15,15.46,15.79,15.0,15.28,9226638
PDR,2025-04-16,15.23,15.32,14.91,15.28,7218168
PDR,2025-04-17,14.91,15.32,14.77,15.32,8562383
PDR,2025-04-18,15.32,15.56,15.05,15.18,6099231
PDR,2025-04-21,15.09,15.28,14.86,15.18,6085226
PDR,2025-04-22,14.81,15.0,14.17,14.17,12622150
PDR,2025-04-23,14.58,14.72,13.93,14.44,10474154
PDR,2025-04-24,14.49,14.72,14.26,14.72,7479286
PDR,2025-04-25,14.72,14.81,14.4,14.54,4435662
PDR,2025-04-28,14.44,14.54,14.21,14.54,5300580
PDR,2025-04-29,14.4,14.49,14.17,14.26,5955491
PDR,2025-05-05,14.35,14.58,14.12,14.49,5110162
PDR,2025-05-06,14.63,15.14,14.58,14.95,12057432
PDR,2025-05-07,14.95,15.56,14.86,15.37,12214294
PDR,2025-05-08,15.46,15.46,15.09,15.37,6140844
PDR,2025-05-09,15.51,15.88,15.28,15.42,8937799
PDR,2025-05-12,15.46,15.56,15.18,15.32,6231759
PDR,2025-05-13,15.56,15.56,15.28,15.28,6935603
PDR,2025-05-14,15.32,15.56,15.0,15.56,9715246
PDR,2025-05-15,15.69,15.93,15.42,15.56,7721623
PDR,2025-05-16,15.56,15.83,15.28,15.28,8636994
PDR,2025-05-19,15.23,15.65,15.09,15.46,6756783
PDR,2025-05-20,15.56,15.56,15.23,15.42,4235770
PDR,2025-05-21,15.51,15.56,15.05,15.51,8509174
PDR,2025-05-22,15.46,15.56,15.14,15.18,7177840
PDR,2025-05-23,15.18,15.28,14.77,14.91,8899068
PDR,2025-05-26,14.95,15.32,14.49,15.28,8227007
PDR,2025-05-27,15.46,16.34,15.42,16.3,24982530
PDR,2025-05-28,16.39,16.43,15.93,16.02,8384911
PDR,2025-05-29,16.2,16.57,15.83,16.25,14606754
PDR,2025-05-30,16.3,16.3,15.69,15.83,13891048
PDR,2025-06-02,15.83,16.9,15.83,16.9,25232797
PDR,2025-06-03,17.13,17.13,16.71,16.99,12921706
PDR,2025-06-04,17.08,17.45,16.9,17.08,12645921
PDR,2025-06-05,17.13,17.18,16.76,16.9,9057131
PDR,2025-06-06,16.9,16.9,16.39,16.48,14874068
PDR,2025-06-09,16.43,16.85,16.39,16.39,9761152
PDR,2025-06-10,16.57,16.67,16.11,16.43,6180682
PDR,2025-06-11,16.53,16.53,15.97,16.06,7797181
PDR,2025-06-12,16.16,16.39,16.06,16.11,5362485
PDR,2025-06-13,15.79,15.93,15.28,15.51,16053696
PDR,2025-06-16,15.23,15.93,15.23,15.93,5012819
PDR,2025-06-17,16.02,16.67,15.83,16.62,19155720
PDR,2025-06-18,16.71,16.9,16.34,16.57,11867696
PDR,2025-06-19,16.53,16.67,16.25,16.53,7516706
PDR,2025-06-20,16.53,16.85,16.53,16.67,11991699
PDR,2025-06-23,16.48,16.62,16.25,16.57,7279748
PDR,2025-06-24,16.71,16.94,16.57,16.57,10568810
PDR,2025-06-25,16.57,16.81,16.39,16.39,8290016
PDR,2025-06-26,16.48,16.48,16.2,16.34,4340666
PDR,2025-06-27,16.43,16.85,16.34,16.34,9967290
PDR,2025-06-30,16.48,16.81,16.43,16.71,11080080
PDR,2025-07-01,16.71,16.85,16.2,16.3,9722437
PDR,2025-07-02,16.34,16.48,16.2,16.43,5183917
PDR,2025-07-03,16.43,16.81,16.25,16.53,15034416
PDR,2025-07-04,16.57,17.36,16.57,16.99,21530901
PDR,2025-07-07,17.13,17.73,16.9,17.55,19830489
PDR,2025-07-08,17.64,17.73,17.22,17.45,14185046
PDR,2025-07-09,17.68,17.87,17.31,17.59,20555207
PDR,2025-07-10,17.82,18.19,17.59,17.68,18189979
PDR,2025-07-11,17.73,17.78,17.31,17.36,13719934
PDR,2025-07-14,17.41,18.29,16.85,18.19,24797932
PDR,2025-07-15,18.33,18.56,17.96,17.96,16003821
PDR,2025-07-16,17.92,18.7,17.87,18.56,27199605
PDR,2025-07-17,18.66,19.81,18.52,19.35,29395180
PDR,2025-07-18,19.58,20.28,18.98,19.03,27643305
PDR,2025-07-21,19.12,19.31,18.47,18.52,21605878
PDR,2025-07-22,18.47,18.93,18.29,18.89,19102170
PDR,2025-07-23,19.12,19.17,18.66,18.7,16181111
PDR,2025-07-24,18.89,19.07,18.61,18.7,14880014
PDR,2025-07-25,18.75,19.26,18.7,19.21,20516688
PDR,2025-07-28,19.49,20.55,19.49,20.55,44256158
PDR,2025-07-29,21.2,21.2,19.12,19.12,42216943
PDR,2025-07-30,19.17,19.54,18.66,19.21,19173098
PDR,2025-07-31,19.44,19.44,18.43,19.17,26121368
PDR,2025-08-01,19.26,19.31,18.66,18.7,16913802
PDR,2025-08-04,18.9,19.25,18.75,19.2,11371662
PDR,2025-08-05,19.45,20.0,18.0,19.0,30364214
PDR,2025-08-06,19.1,19.5,19.0,19.5,11113391
PDR,2025-08-07,19.85,20.0,19.6,19.95,17026520
PDR,2025-08-08,20.15,21.3,19.75,21.3,46953306
PDR,2025-08-11,22.2,22.75,22.2,22.7,37365857
PDR,2025-08-12,22.6,24.25,22.2,23.9,43425840
PDR,2025-08-13,24.1,24.35,23.2,24.2,41299648
PDR,2025-08-14,24.4,25.0,23.75,24.55,31168340
PDR,2025-08-15,24.95,24.95,23.7,24.0,30630400
PDR,2025-08-18,24.0,25.65,23.6,25.65,54449600
PDR,2025-08-19,25.8,26.7,25.1,25.7,32141000
PDR,2025-08-20,25.6,25.6,23.95,24.5,47116700
PDR,2025-08-21,24.3,24.85,23.75,23.75,27668400
PDR,2025-08-22,23.3,24.9,22.15,24.0,51126900
PDR,2025-08-25,24.35,24.5,23.0,23.2,18117900
PDR,2025-08-26,23.0,24.4,22.9,24.4,22727200
PDR,2025-08-27,24.55,25.8,24.3,24.55,41698300
PDR,2025-08-28,24.85,24.85,23.95,24.4,28246700
PDR,2025-08-29,24.7,25.45,24.5,24.55,24762700
PDR,2025-09-03,24.0,26.25,23.8,26.25,55953700
PDR,2025-09-04,26.6,27.1,26.0,26.0,19778800
PDR,2025-09-05,26.2,27.2,25.05,25.1,38670200
PDR,2025-09-08,24.9,25.15,23.4,23.4,46814800
PDR,2025-09-09,23.5,23.8,22.95,23.65,21111600
PDR,2025-09-10,23.7,23.95,23.1,23.4,14526100
PDR,2025-09-11,23.15,23.55,22.4,23.4,23889000
PDR,2025-09-12,23.55,24.35,23.45,23.65,20296900
PDR,2025-09-15,24.0,24.4,23.6,23.85,16363000
PDR,2025-09-16,24.1,24.45,23.4,23.6,21816000
PDR,2025-09-17,23.5,23.85,23.3,23.3,10724500
PDR,2025-09-18,23.25,23.8,22.9,23.45,15231100
PDR,2025-09-19,23.7,24.1,23.4,23.5,18542100
PDR,2025-09-22,23.65,24.5,23.5,24.0,30854300
PDR,2025-09-23,24.15,24.35,23.5,23.65,9660700
PDR,2025-09-24,23.5,25.0,23.3,24.95,28030100
PDR,2025-09-25,25.05,25.55,24.75,24.8,29514100
PDR,2025-09-26,24.8,25.2,24.5,24.55,22128800
PDR,2025-09-29,24.55,24.9,23.85,23.9,20538200
PDR,2025-09-30,23.85,23.95,22.8,23.45,25463600
PDR,2025-10-01,23.55,23.8,23.3,23.65,7610900
PDR,2025-10-02,23.7,23.75,22.85,22.9,10738600
PDR,2025-10-03,22.75,22.75,21.6,21.6,23896900
PDR,2025-10-06,21.8,23.1,21.8,23.1,12762900
PDR,2025-10-07,23.2,23.35,22.75,22.75,11827300
PDR,2025-10-08,23.0,23.15,22.05,22.7,15078800
PDR,2025-10-09,22.9,23.35,22.7,23.3,10994900
PDR,2025-10-10,23.5,24.0,23.45,23.65,18678800
