ticker,time,open,high,low,close,volume
SHS,2025-01-02,10.06,10.99,10.06,10.57,9284700
SHS,2025-01-06,10.57,10.65,9.13,9.64,27148169
SHS,2025-01-13,8.96,10.4,8.54,10.32,35255184
SHS,2025-01-20,9.55,10.91,9.55,10.82,46535368
SHS,2025-02-03,10.65,11.84,9.89,11.5,70582037
SHS,2025-02-10,11.41,11.75,10.32,11.58,47959642
SHS,2025-02-17,11.5,12.26,11.5,12.01,54807496
SHS,2025-02-24,10.82,12.51,10.82,12.09,54240984
SHS,2025-03-03,12.01,12.18,11.41,12.18,75782744
SHS,2025-03-10,12.18,12.94,11.41,12.6,74056810
SHS,2025-03-17,12.51,13.02,11.41,12.43,51311293
SHS,2025-03-24,12.51,12.94,11.5,12.43,50402303
SHS,2025-03-31,12.34,12.77,10.48,11.24,89418635
SHS,2025-04-08,10.99,11.84,9.13,11.58,71980097
SHS,2025-04-14,11.67,12.77,11.16,12.43,82458224
SHS,2025-04-21,11.33,13.3,11.08,12.3,91732219
SHS,2025-04-28,12.3,12.5,12.2,12.3,15806018
SHS,2025-05-05,12.4,12.7,12.1,12.3,55935234
SHS,2025-05-12,12.3,13.3,12.2,12.8,92522028
SHS,2025-05-19,13.0,13.6,12.6,13.1,80935288
SHS,2025-05-26,13.1,13.8,12.9,13.1,79045749
SHS,2025-06-02,13.0,14.3,13.0,13.5,103801043
SHS,2025-06-09,13.5,14.0,12.2,12.8,80641572
SHS,2025-06-16,12.8,13.2,12.3,12.9,47273601
SHS,2025-06-23,12.8,13.2,12.3,12.9,59020071
SHS,2025-06-30,13.0,13.8,11.6,13.5,102414810
SHS,2025-07-07,13.5,14.9,13.5,14.6,171800025
