ticker,time,open,high,low,close,volume
SLS,2025-01-02,169.56,169.56,168.17,169.46,1664
SLS,2025-01-03,168.73,169.1,167.9,169.0,1040
SLS,2025-01-06,169.0,169.0,168.63,168.63,5824
SLS,2025-01-07,168.63,168.73,167.99,168.73,604
SLS,2025-01-08,169.56,169.56,168.27,169.1,7205
SLS,2025-01-09,169.0,170.11,168.73,170.11,17208
SLS,2025-01-10,170.11,170.11,168.63,168.63,1618
SLS,2025-01-13,168.63,170.02,168.63,170.02,1806
SLS,2025-01-14,168.63,169.83,168.63,169.83,515
SLS,2025-01-15,169.83,169.83,167.99,168.27,3615
SLS,2025-01-16,168.27,170.48,168.27,170.48,15500
SLS,2025-01-17,168.91,170.02,168.91,170.02,676
SLS,2025-01-20,170.02,171.03,169.56,171.03,37196
SLS,2025-01-21,172.32,173.24,171.95,173.24,6125
SLS,2025-01-22,173.24,175.08,173.24,174.9,8381
SLS,2025-01-23,174.16,175.08,173.7,175.08,10284
SLS,2025-01-24,175.08,175.08,173.43,173.43,2254
SLS,2025-02-03,173.98,176.84,173.24,174.07,5577
SLS,2025-02-04,175.91,176.01,174.07,175.08,6062
SLS,2025-02-05,175.55,179.23,175.55,177.85,5611
SLS,2025-02-06,179.23,183.19,179.23,181.9,7319
SLS,2025-02-07,181.54,182.73,181.54,181.72,7954
SLS,2025-02-10,181.72,182.46,180.61,180.61,14326
SLS,2025-02-11,181.26,181.35,179.23,179.23,5652
SLS,2025-02-12,179.23,180.61,179.23,179.23,3920
SLS,2025-02-13,182.46,182.46,179.69,180.15,5104
SLS,2025-02-14,180.25,183.38,180.25,183.38,8722
SLS,2025-02-17,183.65,195.36,183.38,193.52,10739
SLS,2025-02-18,193.52,194.44,188.35,193.15,4220
SLS,2025-02-19,193.05,193.52,191.12,192.5,6708
SLS,2025-02-20,192.5,192.5,189.55,192.13,6186
SLS,2025-02-21,192.13,194.25,192.13,192.96,14327
SLS,2025-02-24,194.44,195.36,193.52,195.36,10729
SLS,2025-02-25,197.11,197.2,194.44,194.44,3681
SLS,2025-02-26,194.44,195.27,194.07,195.27,2525
SLS,2025-02-27,194.44,195.27,193.52,194.44,4914
SLS,2025-02-28,188.91,193.05,188.91,192.13,5460
SLS,2025-03-03,192.59,193.52,192.13,193.52,436
SLS,2025-03-04,193.52,193.52,191.86,192.59,2905
SLS,2025-03-05,191.95,192.13,189.74,191.49,6952
SLS,2025-03-06,191.67,191.86,191.58,191.76,3807
SLS,2025-03-07,191.67,191.76,190.75,190.84,9040
SLS,2025-03-10,191.03,192.69,190.84,192.69,2006
SLS,2025-03-11,192.22,193.79,191.67,192.22,2454
SLS,2025-03-12,192.22,192.59,191.67,191.67,2000
SLS,2025-03-13,190.84,191.67,190.84,191.12,2117
SLS,2025-03-14,191.3,191.3,190.38,190.38,2033
SLS,2025-03-17,190.47,192.59,190.47,190.75,2856
SLS,2025-03-18,190.75,191.67,190.75,190.75,2902
SLS,2025-03-19,190.57,192.04,189.83,190.75,5400
SLS,2025-03-20,189.37,192.32,189.37,192.32,2529
SLS,2025-03-21,192.32,192.41,191.12,192.32,2300
SLS,2025-03-24,191.67,192.87,190.75,192.87,3000
SLS,2025-03-25,192.04,192.87,191.67,192.87,4109
SLS,2025-03-26,191.67,192.13,191.67,191.67,1504
SLS,2025-03-27,192.59,193.52,190.84,190.84,4701
SLS,2025-03-28,190.93,190.93,190.57,190.75,18422
SLS,2025-03-31,190.93,190.93,189.92,190.75,1351
SLS,2025-04-01,190.01,190.01,189.83,190.01,3202
SLS,2025-04-02,189.83,189.83,187.99,188.91,9532
SLS,2025-04-03,185.22,188.45,170.02,170.02,72469
SLS,2025-04-04,170.02,184.21,165.87,184.21,19383
SLS,2025-04-08,183.75,183.75,169.56,170.75,26827
SLS,2025-04-09,157.58,174.16,157.58,171.68,16122
SLS,2025-04-10,184.3,188.82,180.89,188.82,27903
SLS,2025-04-11,181.54,188.82,181.54,185.31,14576
SLS,2025-04-14,186.14,187.8,186.14,186.24,7786
SLS,2025-04-15,186.24,186.51,184.39,186.14,14457
SLS,2025-04-16,185.96,185.96,184.48,184.67,4333
SLS,2025-04-17,184.67,184.85,184.58,184.67,28818
SLS,2025-04-18,187.06,187.06,184.58,184.58,6225
SLS,2025-04-21,184.39,186.05,184.3,184.48,11527
SLS,2025-04-22,185.68,185.68,175.08,180.98,34420
SLS,2025-04-23,181.07,182.92,177.39,181.26,6489
SLS,2025-04-24,181.54,182.0,178.86,180.61,10503
SLS,2025-04-25,180.61,182.0,180.15,181.54,10807
SLS,2025-04-28,181.54,182.46,181.54,182.46,10214
SLS,2025-04-29,183.38,183.38,182.64,183.19,3311
SLS,2025-05-05,183.47,185.04,183.38,184.3,15513
SLS,2025-05-06,184.3,184.3,183.65,184.3,8788
SLS,2025-05-07,184.3,184.39,183.56,183.56,2411
SLS,2025-05-08,184.3,184.95,183.56,183.84,4018
SLS,2025-05-09,183.84,184.12,183.38,184.12,4801
SLS,2025-05-12,184.02,184.3,183.84,184.3,3242
SLS,2025-05-13,184.3,185.04,183.75,184.58,10109
SLS,2025-05-14,187.06,188.91,184.58,188.91,17501
SLS,2025-05-15,188.91,188.91,186.6,187.99,12146
SLS,2025-05-16,187.99,188.91,187.06,187.06,3418
SLS,2025-05-19,187.06,187.8,187.06,187.71,4626
SLS,2025-05-20,187.89,188.08,187.89,188.08,15900
SLS,2025-05-21,188.08,188.45,187.89,187.89,3711
SLS,2025-05-22,187.99,188.26,187.89,187.89,3606
SLS,2025-05-23,187.99,188.82,187.99,188.45,2001
SLS,2025-05-26,192.59,192.59,187.99,188.63,8507
SLS,2025-05-27,189.18,189.18,188.45,188.54,2430
SLS,2025-05-28,188.63,188.91,188.63,188.91,7968
