ticker,time,open,high,low,close,volume
VIB,2025-01-02,16.62,16.83,16.54,16.62,6761631
VIB,2025-01-03,16.62,16.62,16.16,16.16,7463601
VIB,2025-01-06,16.16,16.24,16.07,16.16,7988240
VIB,2025-01-07,16.2,16.41,16.12,16.33,7027496
VIB,2025-01-08,16.33,16.45,16.2,16.41,4986468
VIB,2025-01-09,16.41,16.5,16.37,16.41,4810913
VIB,2025-01-10,16.45,16.54,16.28,16.28,10226074
VIB,2025-01-13,16.24,16.37,16.16,16.37,5692135
VIB,2025-01-14,16.37,16.45,16.28,16.37,3490524
VIB,2025-01-15,16.45,16.71,16.37,16.58,6070934
VIB,2025-01-16,16.71,16.71,16.54,16.62,5918692
VIB,2025-01-17,16.66,16.75,16.58,16.75,5077138
VIB,2025-01-20,16.75,17.04,16.75,16.96,9731276
VIB,2025-01-21,17.04,17.09,16.83,16.96,5167833
VIB,2025-01-22,17.0,17.0,16.79,16.83,6922757
VIB,2025-01-23,16.83,17.3,16.83,17.26,11919139
VIB,2025-01-24,17.3,17.55,17.17,17.42,8974425
VIB,2025-02-03,17.26,17.26,16.24,16.96,9833157
VIB,2025-02-04,17.0,17.3,17.0,17.17,5993816
VIB,2025-02-05,17.17,17.26,17.13,17.21,3892693
VIB,2025-02-06,17.38,17.55,17.21,17.26,3978459
VIB,2025-02-07,17.13,17.51,17.09,17.3,6642328
VIB,2025-02-10,17.17,17.72,17.09,17.3,11662206
VIB,2025-02-11,17.51,17.63,17.3,17.42,4941748
VIB,2025-02-12,17.42,17.47,17.21,17.3,6350323
VIB,2025-02-13,17.21,17.3,17.17,17.26,6623926
VIB,2025-02-14,17.42,17.47,17.21,17.26,5234157
VIB,2025-02-17,17.21,17.34,17.17,17.17,4424660
VIB,2025-02-18,17.21,17.38,17.17,17.21,6059798
VIB,2025-02-19,17.21,17.51,17.21,17.34,8318073
VIB,2025-02-20,17.42,17.42,17.34,17.34,6880209
VIB,2025-02-21,17.34,17.47,17.3,17.38,7679775
