ticker,time,open,high,low,close,volume
MPC,2025-01-05,14.8,14.9,14.5,14.7,248200
MPC,2025-01-12,14.5,15.0,14.5,14.9,386100
MPC,2025-01-19,14.6,15.0,14.6,14.9,132500
MPC,2025-01-26,14.7,15.3,14.7,15.0,205300
MPC,2025-02-02,,,,,0
MPC,2025-02-09,14.5,15.2,14.5,14.7,199600
MPC,2025-02-16,14.7,14.9,14.4,14.4,335600
MPC,2025-02-23,14.5,14.5,14.1,14.2,394800
MPC,2025-03-02,14.2,14.2,14.0,14.2,171500
MPC,2025-03-09,14.1,14.1,13.5,13.6,297500
MPC,2025-03-16,13.6,13.7,13.2,13.3,287300
MPC,2025-03-23,13.3,13.3,12.9,13.0,223500
MPC,2025-03-30,12.9,13.2,12.8,12.8,93700
MPC,2025-04-06,14.7,14.7,9.7,9.7,773000
MPC,2025-04-13,9.0,12.1,9.0,10.9,783600
MPC,2025-04-20,11.1,11.1,10.1,10.4,346700
MPC,2025-04-27,10.2,10.5,8.8,10.2,225500
MPC,2025-05-04,10.4,10.6,10.0,10.6,167000
MPC,2025-05-11,10.5,10.9,10.2,10.4,426800
MPC,2025-05-18,10.6,10.7,10.3,10.5,546200
MPC,2025-05-25,10.3,10.5,10.2,10.2,401200
MPC,2025-06-01,10.3,11.6,10.2,10.6,1803500
MPC,2025-06-08,10.6,11.1,10.5,10.8,1377900
MPC,2025-06-15,10.8,12.4,10.4,12.4,2624000
MPC,2025-06-22,12.0,15.2,12.0,13.2,3381700
MPC,2025-06-29,13.3,14.2,12.8,13.7,1241200
MPC,2025-07-06,13.7,14.6,13.3,14.1,2419700
MPC,2025-07-13,14.5,14.5,13.6,13.8,1191700
MPC,2025-07-20,13.8,14.4,13.5,13.9,969300
MPC,2025-07-27,14.0,15.2,13.7,15.0,1921600
MPC,2025-08-03,15.0,15.7,14.8,15.2,1780100
