ticker,time,open,high,low,close,volume
MWG,2025-01-05,60.04,60.33,57.77,57.77,10581205
MWG,2025-01-12,57.57,58.46,55.6,56.68,19358783
MWG,2025-01-19,55.8,57.18,55.7,56.88,16455554
MWG,2025-01-26,56.88,59.25,56.39,59.25,21169233
MWG,2025-02-02,,,,,0
MWG,2025-02-09,58.16,59.05,56.98,58.06,22693522
MWG,2025-02-16,57.47,57.47,53.04,54.42,39311936
MWG,2025-02-23,54.42,57.47,53.04,57.27,34322075
MWG,2025-03-02,57.27,58.26,56.49,57.47,27673882
MWG,2025-03-09,57.37,61.12,56.98,61.02,38421275
MWG,2025-03-16,61.12,62.3,60.33,60.63,42631999
MWG,2025-03-23,60.82,61.61,58.16,59.44,29518089
MWG,2025-03-30,58.95,60.43,58.06,58.95,21215008
MWG,2025-04-06,58.16,58.85,50.18,52.05,63592024
MWG,2025-04-13,48.5,52.15,45.1,52.15,45344672
MWG,2025-04-20,54.22,56.88,53.53,55.4,48450911
MWG,2025-04-27,55.5,59.64,51.26,59.64,47353066
MWG,2025-05-04,60.04,61.12,58.75,59.94,13418840
MWG,2025-05-11,59.94,60.53,58.06,59.54,31220879
MWG,2025-05-18,59.84,63.68,59.25,62.89,48616581
MWG,2025-05-25,62.6,64.27,62.2,63.29,41229751
MWG,2025-06-01,63.29,64.57,61.22,61.22,45631888
MWG,2025-06-08,61.12,61.91,59.15,59.64,39261242
MWG,2025-06-15,59.64,62.6,59.05,62.3,41498818
MWG,2025-06-22,62.11,64.37,61.71,63.19,33957653
MWG,2025-06-29,62.99,65.36,62.3,64.87,38466013
MWG,2025-07-06,65.26,65.65,63.39,65.36,36816194
MWG,2025-07-13,65.65,67.43,64.87,66.94,35480653
MWG,2025-07-20,66.94,70.98,65.46,69.7,39746962
MWG,2025-07-27,69.99,71.1,68.02,70.1,36157970
MWG,2025-08-03,70.6,71.0,65.2,65.2,63906213
