ticker,time,open,high,low,close,volume
SSI,2025-01-05,26.05,26.35,25.35,25.35,25004100
SSI,2025-01-12,25.35,25.5,23.5,23.7,67963300
SSI,2025-01-19,23.55,25.2,23.55,24.55,54393100
SSI,2025-01-26,24.65,25.25,24.35,25.25,52748800
SSI,2025-02-02,,,,,0
SSI,2025-02-09,24.85,25.45,24.75,25.0,55264800
SSI,2025-02-16,24.95,25.3,24.65,24.9,58671800
SSI,2025-02-23,24.9,25.55,24.8,25.35,69203500
SSI,2025-03-02,25.3,26.8,25.25,26.3,137737800
SSI,2025-03-09,26.3,27.15,26.1,26.9,145167300
SSI,2025-03-16,27.0,27.4,26.35,26.95,178674300
SSI,2025-03-23,27.1,27.45,26.4,26.6,112688200
SSI,2025-03-30,26.75,27.45,26.05,26.35,106898500
SSI,2025-04-06,26.15,26.5,22.9,23.75,189791800
SSI,2025-04-13,23.0,23.45,20.6,23.45,175478300
SSI,2025-04-20,23.7,24.1,22.8,23.35,126871800
SSI,2025-04-27,23.4,23.5,21.3,22.8,113739000
SSI,2025-05-04,22.9,23.15,22.8,22.95,21838700
SSI,2025-05-11,23.4,23.5,22.75,22.95,78537200
SSI,2025-05-18,23.1,24.4,22.85,23.7,136261000
SSI,2025-05-25,23.55,23.9,23.25,23.35,103352200
SSI,2025-06-01,23.45,24.2,22.8,23.45,104574900
SSI,2025-06-08,23.35,24.85,23.35,23.6,142769100
SSI,2025-06-15,23.65,23.85,23.05,23.15,90936800
SSI,2025-06-22,23.1,24.35,23.1,24.0,99740500
SSI,2025-06-29,23.7,24.85,23.55,24.65,127931900
SSI,2025-07-06,25.0,26.3,24.35,25.9,162344900
SSI,2025-07-13,26.2,30.0,26.05,29.65,285552600
SSI,2025-07-20,29.8,32.3,29.0,31.8,249465000
SSI,2025-07-27,32.05,34.1,30.55,34.0,265911900
SSI,2025-08-03,34.8,36.2,32.7,33.2,323385500
